"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/08/2016","Sport Chek","SPORT CHEK #341 REGINA","6.59","credit","Clothing","SimplyCash(TM) Card from American Express","",""
"6/08/2016","WestJet","WESTJET AIRLINES 340050 REGINA TICKET NUMBER: 83826099489926 PASSENGER NAME: YAN/CHRISMR","26.25","debit","Air Travel","SimplyCash(TM) Card from American Express","",""
"6/08/2016","Raa Parking Qp","RAA PARKING QP REGINA","2.00","debit","Parking","SimplyCash(TM) Card from American Express","",""
"6/07/2016","Sport Chek","SPORT CHEK #341 REGINA","6.59","debit","Clothing","SimplyCash(TM) Card from American Express","",""
"6/04/2016","Received Thank You","PAYMENT RECEIVED - THANK YOU","1345.03","credit","Credit Card Payment","SimplyCash(TM) Card from American Express","",""
"6/03/2016","Home Depot","THE HOME DEPOT #7052 REGINA","26.10","credit","Home Improvement","SimplyCash(TM) Card from American Express","",""
"6/01/2016","Young Mens Christian","YOUNG MENS CHRISTIAN AS REGINA","25.75","debit","Gym","SimplyCash(TM) Card from American Express","",""
"6/01/2016","U R Conservator","U OF R - CONSERVATOR REGINA","190.80","debit","Uncategorized","SimplyCash(TM) Card from American Express","",""
"5/30/2016","Michaels","MICHAELS #3923 MICHAELS REGINA","9.89","debit","Hobbies","SimplyCash(TM) Card from American Express","",""
"5/29/2016","Home Depot","THE HOME DEPOT #7052 REGINA","29.06","debit","Home Improvement","SimplyCash(TM) Card from American Express","",""
"5/28/2016","Canadian Tire","CDN TIRE STORE 00394300 REGINA","16.50","debit","Shopping","SimplyCash(TM) Card from American Express","",""
"5/27/2016","Sgi Auto Fund","SGI AUTO FUND REGINA","100.00","debit","Driver License Fee","SimplyCash(TM) Card from American Express","Jian Ze Ying",""
"5/26/2016","Saskatchewan Centre-The Arts","SASKATCHEWAN CENTRE OF REGINA","128.75","debit","Entertainment","SimplyCash(TM) Card from American Express","",""
