"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/23/2014","Netflix","NETFLIX.COM - 866 716 0414","7.99","debit","Movies & DVDs","Smart Cash  World MasterCard","",""
"9/22/2014","Google","GOOGLE *GOOGLE STORAGE - GOOGLE.COM/CH CA","2.23","debit","Advertising","Smart Cash  World MasterCard","",""
"9/21/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","33.23","debit","Groceries","Smart Cash  World MasterCard","",""
"9/21/2014","Pumpkin Hollow Corn","PUMPKIN HOLLOW CORN MA - LUMSDEN SK","68.25","debit","Uncategorized","Smart Cash  World MasterCard","",""
"9/20/2014","Canadian Tire","CDN TIRE STORE #00629 - REGINA SK","51.68","debit","Shopping","Smart Cash  World MasterCard","",""
"9/20/2014","Extreme Hockey","EXTREME HOCKEY - REGINA SK","93.38","debit","Sporting Goods","Smart Cash  World MasterCard","",""
"9/20/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","58.58","debit","Groceries","Smart Cash  World MasterCard","",""
"9/19/2014","Regina Public Schools","REGINA PUBLIC SCHOOLS - REGINA SK","17.00","debit","Tuition","Smart Cash  World MasterCard","",""
"9/16/2014","Sandra Schmirler Leisu","SANDRA SCHMIRLER LEISU - REGINA SK","12.30","debit","Uncategorized","Smart Cash  World MasterCard","",""
"9/15/2014","Sask Tel.","SASKTEL - REGINA SK","22.00","debit","Electronics & Software","Smart Cash  World MasterCard","",""
"9/15/2014","Saskatchewa","PAYPAL *SASKATCHEWA - 4029357733 ON","60.00","debit","Uncategorized","Smart Cash  World MasterCard","",""
"9/15/2014","U R Conservatory","U OF R - CONSERVATORY - REGINA SK","156.00","debit","Uncategorized","Smart Cash  World MasterCard","",""
"9/15/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","14.70","credit","Groceries","Smart Cash  World MasterCard","",""
"9/15/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","1.57","credit","Groceries","Smart Cash  World MasterCard","",""
"9/14/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","50.93","debit","Groceries","Smart Cash  World MasterCard","",""
"9/14/2014","Regina Prince Of Wales Bulk Barn","REGINA PRINCE OF WALES - REGINA SK","23.11","debit","Groceries","Smart Cash  World MasterCard","",""
"9/13/2014","Subway","SUBWAY 49901 - REGINA SK","6.20","debit","Fast Food","Smart Cash  World MasterCard","",""
"9/13/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","7.33","debit","Groceries","Smart Cash  World MasterCard","",""
"9/13/2014","Real Canadian Superstore","REAL CDN SUPERSTORE 15 - REGINA SK","62.48","debit","Groceries","Smart Cash  World MasterCard","",""
"9/13/2014","Bay Regina Sk","THE BAY #1113 - REGINA SK","49.33","credit","Credit Card Payment","Smart Cash  World MasterCard","",""
"9/12/2014","Nature's Best Market","NATURES BEST MARKET - REGINA SK","6.48","debit","Groceries","Smart Cash  World MasterCard","",""
"9/11/2014","Ricki's","RICKI'S #590 - REGINA SK","15.38","debit","Clothing","Smart Cash  World MasterCard","",""
"9/10/2014","Dance City Moto","DANCE CITY - MOTO - REGINA SK","134.02","debit","Auto & Transport","Smart Cash  World MasterCard","",""
